title,genres,director,cast,vote_average,metadata
Psycho,Drama|Horror|Thriller,Alfred Hitchcock,Anthony Perkins|Vera Miles|John Gavin,8.2,Drama|Horror|Thriller Alfred Hitchcock Anthony Perkins|Vera Miles|John Gavin
My Best Friend's Girl,Romance|Comedy,Howard Deutch,Dane Cook|Kate Hudson|Alec Baldwin,5.4,Romance|Comedy Howard Deutch Dane Cook|Kate Hudson|Alec Baldwin
Endless Love,Drama|Romance,Shana Feste,Alex Pettyfer|Gabriella Wilde|Robert Patrick,6.7,Drama|Romance Shana Feste Alex Pettyfer|Gabriella Wilde|Robert Patrick
Georgia Rule,Comedy|Drama|Romance,Garry Marshall,Jane Fonda|Lindsay Lohan|Felicity Huffman,5.6,Comedy|Drama|Romance Garry Marshall Jane Fonda|Lindsay Lohan|Felicity Huffman
Under the Rainbow,Comedy,Steve Rash,Chevy Chase|Carrie Fisher|Eve Arden,4.9,Comedy Steve Rash Chevy Chase|Carrie Fisher|Eve Arden
Ladyhawke,Adventure|Drama|Fantasy|Romance,Richard Donner,Matthew Broderick|Rutger Hauer|Michelle Pfeiffer,6.8,Adventure|Drama|Fantasy|Romance Richard Donner Matthew Broderick|Rutger Hauer|Michelle Pfeiffer
Simon Birch,Comedy|Drama|Family,Mark Steven Johnson,Jim Carrey|Ashley Judd|Ian Michael Smith,6.5,Comedy|Drama|Family Mark Steven Johnson Jim Carrey|Ashley Judd|Ian Michael Smith
Reign Over Me,Drama,Mike Binder,Adam Sandler|Don Cheadle|Jada Pinkett Smith,7.1,Drama Mike Binder Adam Sandler|Don Cheadle|Jada Pinkett Smith
Into the Wild,Adventure|Drama,Sean Penn,Emile Hirsch|Marcia Gay Harden|William Hurt,7.8,Adventure|Drama Sean Penn Emile Hirsch|Marcia Gay Harden|William Hurt
School for Scoundrels,Comedy|Drama|Romance,Todd Phillips,Billy Bob Thornton|Jon Heder|Jacinda Barrett,5.6,Comedy|Drama|Romance Todd Phillips Billy Bob Thornton|Jon Heder|Jacinda Barrett
Silent Hill: Revelation 3D,Thriller|Horror|Mystery,Michael J. Bassett,Adelaide Clemens|Kit Harington|Sean Bean,5.0,Thriller|Horror|Mystery Michael J. Bassett Adelaide Clemens|Kit Harington|Sean Bean
From Dusk Till Dawn,Horror|Action|Thriller|Crime,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel,6.9,Horror|Action|Thriller|Crime Robert Rodriguez George Clooney|Quentin Tarantino|Harvey Keitel
Pooh's Heffalump Movie,Animation|Family,Frank Nissen,Jim Cummings|John Fiedler|Nikita Hopkins,6.4,Animation|Family Frank Nissen Jim Cummings|John Fiedler|Nikita Hopkins
Home for the Holidays,Comedy|Drama|Romance,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft,6.3,Comedy|Drama|Romance Jodie Foster Holly Hunter|Robert Downey Jr.|Anne Bancroft
Kung Fu Hustle,Action|Comedy|Crime|Fantasy,Stephen Chow,Stephen Chow|Yuen Wah|Yuen Qiu,7.2,Action|Comedy|Crime|Fantasy Stephen Chow Stephen Chow|Yuen Wah|Yuen Qiu
The Country Bears,Adventure|Comedy|Family,Peter Hastings,Haley Joel Osment|Diedrich Bader|Candy Ford,4.3,Adventure|Comedy|Family Peter Hastings Haley Joel Osment|Diedrich Bader|Candy Ford
The Kite Runner,Drama,Marc Forster,Khalid Abdalla|Atossa Leoni|Shaun Toub,7.3,Drama Marc Forster Khalid Abdalla|Atossa Leoni|Shaun Toub
21 Grams,Drama|Crime|Thriller,Alejandro González Iñárritu,Sean Penn|Naomi Watts|Benicio del Toro,7.2,Drama|Crime|Thriller Alejandro González Iñárritu Sean Penn|Naomi Watts|Benicio del Toro
Paparazzi,Action|Drama|Thriller,Paul Abascal,Cole Hauser|Robin Tunney|Dennis Farina,5.8,Action|Drama|Thriller Paul Abascal Cole Hauser|Robin Tunney|Dennis Farina
A Guy Thing,Comedy|Romance,Chris Koch,Jason Lee|Julia Stiles|Selma Blair,5.3,Comedy|Romance Chris Koch Jason Lee|Julia Stiles|Selma Blair
Loser,Drama|Comedy|Romance|Family,Amy Heckerling,Jason Biggs|Mena Suvari|Zak Orth,5.0,Drama|Comedy|Romance|Family Amy Heckerling Jason Biggs|Mena Suvari|Zak Orth
Capitalism: A Love Story,Documentary,Michael Moore,Michael Moore|Thora Birch|William Black,7.0,Documentary Michael Moore Michael Moore|Thora Birch|William Black
The Greatest Story Ever Told,Drama|History,George Stevens,Max von Sydow|Michael Anderson Jr.|Carroll Baker,6.5,Drama|History George Stevens Max von Sydow|Michael Anderson Jr.|Carroll Baker
Secret in Their Eyes,Crime|Drama|Mystery,Billy Ray,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts,6.2,Crime|Drama|Mystery Billy Ray Chiwetel Ejiofor|Nicole Kidman|Julia Roberts
Disaster Movie,Action|Comedy,Jason Friedberg,Matt Lanter|Vanessa Lachey|Nicole Ari Parker,3.0,Action|Comedy Jason Friedberg Matt Lanter|Vanessa Lachey|Nicole Ari Parker
Armored,Action|Crime|Drama|Thriller,Nimród Antal,Columbus Short|Laurence Fishburne|Skeet Ulrich,5.5,Action|Crime|Drama|Thriller Nimród Antal Columbus Short|Laurence Fishburne|Skeet Ulrich
The Man Who Knew Too Little,Comedy|Thriller|Crime|Action,Jon Amiel,Bill Murray|Peter Gallagher|Joanne Whalley,6.5,Comedy|Thriller|Crime|Action Jon Amiel Bill Murray|Peter Gallagher|Joanne Whalley
What's Your Number?,Comedy|Romance,Mark Mylod,Chris Evans|Anna Faris|Martin Freeman,6.2,Comedy|Romance Mark Mylod Chris Evans|Anna Faris|Martin Freeman
Lockout,Action|Thriller|Science Fiction,Stephen St. Leger,Guy Pearce|Maggie Grace|Joseph Gilgun,5.8,Action|Thriller|Science Fiction Stephen St. Leger Guy Pearce|Maggie Grace|Joseph Gilgun
Envy,Comedy,Barry Levinson,Ben Stiller|Jack Black|Rachel Weisz,4.8,Comedy Barry Levinson Ben Stiller|Jack Black|Rachel Weisz
Crank: High Voltage,Action|Thriller|Crime,Brian Taylor,Jason Statham|Amy Smart|Dwight Yoakam,5.9,Action|Thriller|Crime Brian Taylor Jason Statham|Amy Smart|Dwight Yoakam
Bullets Over Broadway,Action|Comedy|Thriller,Woody Allen,John Cusack|Dianne Wiest|Jennifer Tilly,7.0,Action|Comedy|Thriller Woody Allen John Cusack|Dianne Wiest|Jennifer Tilly
One Night with the King,Drama,Michael O. Sajbel,Tiffany Dupont|Peter O'Toole|Luke Goss,6.1,Drama Michael O. Sajbel Tiffany Dupont|Peter O'Toole|Luke Goss
The Quiet American,Drama|Action|Thriller|Romance,Phillip Noyce,Michael Caine|Brendan Fraser|Đỗ Thị Hải Yến,6.4,Drama|Action|Thriller|Romance Phillip Noyce Michael Caine|Brendan Fraser|Đỗ Thị Hải Yến
The Weather Man,Comedy|Drama,Gore Verbinski,Nicolas Cage|Michael Caine|Hope Davis,6.0,Comedy|Drama Gore Verbinski Nicolas Cage|Michael Caine|Hope Davis
Undisputed,Action|Adventure|Drama|Thriller,Walter Hill,Wesley Snipes|Ving Rhames|Peter Falk,6.1,Action|Adventure|Drama|Thriller Walter Hill Wesley Snipes|Ving Rhames|Peter Falk
Ghost Town,Comedy|Fantasy|Romance,David Koepp,Ricky Gervais|Greg Kinnear|Téa Leoni,6.4,Comedy|Fantasy|Romance David Koepp Ricky Gervais|Greg Kinnear|Téa Leoni
12 Rounds,Action|Adventure|Drama|Thriller,Renny Harlin,John Cena|Aidan Gillen|Ashley Scott,5.7,Action|Adventure|Drama|Thriller Renny Harlin John Cena|Aidan Gillen|Ashley Scott
Let Me In,Drama|Horror|Mystery,Matt Reeves,Kodi Smit-McPhee|Chloë Grace Moretz|Richard Jenkins,6.7,Drama|Horror|Mystery Matt Reeves Kodi Smit-McPhee|Chloë Grace Moretz|Richard Jenkins
3 Ninjas Kick Back,Adventure|Action|Comedy|Family,Charles T. Kanganis,Victor Wong|Max Elliott Slade|Sean Fox,4.5,Adventure|Action|Comedy|Family Charles T. Kanganis Victor Wong|Max Elliott Slade|Sean Fox
Be Kind Rewind,Drama|Comedy,Michel Gondry,Jack Black|Yasiin Bey|Danny Glover,6.2,Drama|Comedy Michel Gondry Jack Black|Yasiin Bey|Danny Glover
Mrs Henderson Presents,Comedy|Drama,Stephen Frears,Judi Dench|Bob Hoskins|Will Young,6.4,Comedy|Drama Stephen Frears Judi Dench|Bob Hoskins|Will Young
Triple 9,Action|Thriller,John Hillcoat,Casey Affleck|Chiwetel Ejiofor|Woody Harrelson,5.6,Action|Thriller John Hillcoat Casey Affleck|Chiwetel Ejiofor|Woody Harrelson
Deconstructing Harry,Comedy|Drama,Woody Allen,Woody Allen|Kirstie Alley|Billy Crystal,7.3,Comedy|Drama Woody Allen Woody Allen|Kirstie Alley|Billy Crystal
Three to Tango,Comedy|Romance,Damon Santostefano,Matthew Perry|Neve Campbell|Dylan McDermott,5.4,Comedy|Romance Damon Santostefano Matthew Perry|Neve Campbell|Dylan McDermott
Burnt,Drama,John Wells,Bradley Cooper|Sienna Miller|Lily James,6.3,Drama John Wells Bradley Cooper|Sienna Miller|Lily James
We're No Angels,Comedy|Crime|Drama,Neil Jordan,Robert De Niro|Sean Penn|Demi Moore,5.6,Comedy|Crime|Drama Neil Jordan Robert De Niro|Sean Penn|Demi Moore
Everyone Says I Love You,Music|Comedy|Romance,Woody Allen,Drew Barrymore|Diva Gray|Natasha Lyonne,6.5,Music|Comedy|Romance Woody Allen Drew Barrymore|Diva Gray|Natasha Lyonne
Death Sentence,Action|Crime|Drama|Thriller,James Wan,Kevin Bacon|Garrett Hedlund|Kelly Preston,6.5,Action|Crime|Drama|Thriller James Wan Kevin Bacon|Garrett Hedlund|Kelly Preston
Everybody's Fine,Drama,Kirk Jones,Robert De Niro|Drew Barrymore|Kate Beckinsale,6.5,Drama Kirk Jones Robert De Niro|Drew Barrymore|Kate Beckinsale
Superbabies: Baby Geniuses 2,Comedy|Family,Bob Clark,Jon Voight|Scott Baio|Vanessa Angel,1.9,Comedy|Family Bob Clark Jon Voight|Scott Baio|Vanessa Angel
The Man,Action|Comedy|Crime,Les Mayfield,Samuel L. Jackson|Eugene Levy|Luke Goss,5.4,Action|Comedy|Crime Les Mayfield Samuel L. Jackson|Eugene Levy|Luke Goss
Code Name: The Cleaner,Action|Comedy|Crime,Les Mayfield,Cedric the Entertainer|Lucy Liu|Nicollette Sheridan,4.7,Action|Comedy|Crime Les Mayfield Cedric the Entertainer|Lucy Liu|Nicollette Sheridan
Connie and Carla,Comedy,Michael Lembeck,Nia Vardalos|Toni Collette|David Duchovny,6.4,Comedy Michael Lembeck Nia Vardalos|Toni Collette|David Duchovny
Sweet Charity,Comedy|Drama|Music|Romance,Bob Fosse,Shirley MacLaine|John McMartin|Ricardo Montalban,6.5,Comedy|Drama|Music|Romance Bob Fosse Shirley MacLaine|John McMartin|Ricardo Montalban
Inherent Vice,Comedy|Romance|Crime|Drama|Mystery,Paul Thomas Anderson,Joaquin Phoenix|Josh Brolin|Owen Wilson,6.5,Comedy|Romance|Crime|Drama|Mystery Paul Thomas Anderson Joaquin Phoenix|Josh Brolin|Owen Wilson
Doogal,Family,Frank Passingham,Daniel Tay|Jimmy Fallon|Jon Stewart,3.2,Family Frank Passingham Daniel Tay|Jimmy Fallon|Jon Stewart
Battle of the Year,Music|Drama,Benson Lee,Josh Holloway|Josh Peck|Chris Brown,5.9,Music|Drama Benson Lee Josh Holloway|Josh Peck|Chris Brown
An American Carol,Comedy|Fantasy,David Zucker,Kevin Farley|Kelsey Grammer|Leslie Nielsen,4.1,Comedy|Fantasy David Zucker Kevin Farley|Kelsey Grammer|Leslie Nielsen
Machete Kills,Action|Crime|Thriller,Robert Rodriguez,Danny Trejo|Mel Gibson|Amber Heard,5.3,Action|Crime|Thriller Robert Rodriguez Danny Trejo|Mel Gibson|Amber Heard
Willard,Horror,Glen Morgan,Crispin Glover|R. Lee Ermey|Laura Harring,5.8,Horror Glen Morgan Crispin Glover|R. Lee Ermey|Laura Harring
Strange Wilderness,Comedy,Fred Wolf,Steve Zahn|Allen Covert|Jonah Hill,4.7,Comedy Fred Wolf Steve Zahn|Allen Covert|Jonah Hill
Topsy-Turvy,Comedy|Drama|Music,Mike Leigh,Allan Corduner|Jim Broadbent|Timothy Spall,6.7,Comedy|Drama|Music Mike Leigh Allan Corduner|Jim Broadbent|Timothy Spall
Little Boy,Comedy|Drama|War,Alejandro Monteverde,Jakob Salvati|Emily Watson|Cary-Hiroyuki Tagawa,7.0,Comedy|Drama|War Alejandro Monteverde Jakob Salvati|Emily Watson|Cary-Hiroyuki Tagawa
A Dangerous Method,Drama|Thriller,David Cronenberg,Keira Knightley|Viggo Mortensen|Michael Fassbender,6.2,Drama|Thriller David Cronenberg Keira Knightley|Viggo Mortensen|Michael Fassbender
A Scanner Darkly,Animation|Science Fiction|Thriller,Richard Linklater,Keanu Reeves|Winona Ryder|Woody Harrelson,6.8,Animation|Science Fiction|Thriller Richard Linklater Keanu Reeves|Winona Ryder|Woody Harrelson
Chasing Mavericks,Drama,Curtis Hanson,Gerard Butler|Jonny Weston|Elisabeth Shue,7.0,Drama Curtis Hanson Gerard Butler|Jonny Weston|Elisabeth Shue
Alone in the Dark,Action|Fantasy|Horror|Thriller,Uwe Boll,Christian Slater|Tara Reid|Stephen Dorff,3.1,Action|Fantasy|Horror|Thriller Uwe Boll Christian Slater|Tara Reid|Stephen Dorff
Bandslam,Comedy|Drama|Family|Music,Todd Graff,Vanessa Hudgens|Aly Michalka|Gaelan Connell,5.4,Comedy|Drama|Family|Music Todd Graff Vanessa Hudgens|Aly Michalka|Gaelan Connell
Birth,Drama|Mystery|Thriller,Jonathan Glazer,Nicole Kidman|Cameron Bright|Danny Huston,5.9,Drama|Mystery|Thriller Jonathan Glazer Nicole Kidman|Cameron Bright|Danny Huston
A Most Violent Year,Crime|Drama|Thriller,J.C. Chandor,Oscar Isaac|Jessica Chastain|Albert Brooks,6.5,Crime|Drama|Thriller J.C. Chandor Oscar Isaac|Jessica Chastain|Albert Brooks
Passchendaele,Drama|Romance|War|History,Paul Gross,Paul Gross|Caroline Dhavernas|Joe Dinicol,6.3,Drama|Romance|War|History Paul Gross Paul Gross|Caroline Dhavernas|Joe Dinicol
Flash of Genius,Drama,Marc Abraham,Aaron Abrams|Alan Alda|Lauren Graham,6.3,Drama Marc Abraham Aaron Abrams|Alan Alda|Lauren Graham
I'm Not There.,Drama|Music,Todd Haynes,Cate Blanchett|Heath Ledger|Julianne Moore,6.6,Drama|Music Todd Haynes Cate Blanchett|Heath Ledger|Julianne Moore
The Cold Light of Day,Action|Thriller,Mabrouk El Mechri,Henry Cavill|Verónica Echegui|Sigourney Weaver,4.8,Action|Thriller Mabrouk El Mechri Henry Cavill|Verónica Echegui|Sigourney Weaver
The Brothers Bloom,Adventure|Comedy|Drama|Romance,Rian Johnson,Rachel Weisz|Adrien Brody|Mark Ruffalo,6.8,Adventure|Comedy|Drama|Romance Rian Johnson Rachel Weisz|Adrien Brody|Mark Ruffalo
"Synecdoche, New York",Drama,Charlie Kaufman,Philip Seymour Hoffman|Samantha Morton|Jennifer Jason Leigh,7.4,Drama Charlie Kaufman Philip Seymour Hoffman|Samantha Morton|Jennifer Jason Leigh
Princess Mononoke,Adventure|Fantasy|Animation,Hayao Miyazaki,Yōji Matsuda|Yuriko Ishida|Yūko Tanaka,8.2,Adventure|Fantasy|Animation Hayao Miyazaki Yōji Matsuda|Yuriko Ishida|Yūko Tanaka
Bon voyage,Comedy|Drama|Foreign,Jean-Paul Rappeneau,Grégori Derangère|Gérard Depardieu|Isabelle Adjani,5.7,Comedy|Drama|Foreign Jean-Paul Rappeneau Grégori Derangère|Gérard Depardieu|Isabelle Adjani
Can't Stop the Music,Comedy|Music,Nancy Walker,Alex Briley|David Hodo|Glenn Hughes,4.9,Comedy|Music Nancy Walker Alex Briley|David Hodo|Glenn Hughes
The Proposition,Action|Adventure|Crime|Drama|Thriller|Western,John Hillcoat,Guy Pearce|Ray Winstone|Emily Watson,7.1,Action|Adventure|Crime|Drama|Thriller|Western John Hillcoat Guy Pearce|Ray Winstone|Emily Watson
My All American,Drama,Angelo Pizzo,Aaron Eckhart|Finn Wittrock|Robin Tunney,6.8,Drama Angelo Pizzo Aaron Eckhart|Finn Wittrock|Robin Tunney
Marci X,Comedy,Richard Benjamin,Lisa Kudrow|Damon Wayans|Richard Benjamin,3.3,Comedy Richard Benjamin Lisa Kudrow|Damon Wayans|Richard Benjamin
Equilibrium,Action|Science Fiction|Thriller,Kurt Wimmer,Christian Bale|Taye Diggs|Emily Watson,6.9,Action|Science Fiction|Thriller Kurt Wimmer Christian Bale|Taye Diggs|Emily Watson
The Children of Huang Shi,Drama|War,Roger Spottiswoode,Jonathan Rhys Meyers|Radha Mitchell|Chow Yun-fat,6.5,Drama|War Roger Spottiswoode Jonathan Rhys Meyers|Radha Mitchell|Chow Yun-fat
The Yards,Drama|Action|Thriller|Crime,James Gray,Mark Wahlberg|Joaquin Phoenix|Charlize Theron,6.0,Drama|Action|Thriller|Crime James Gray Mark Wahlberg|Joaquin Phoenix|Charlize Theron
The Oogieloves in the Big Balloon Adventure,Family,Matthew Diamond,Christopher Lloyd|Cary Elwes|Jaime Pressly,2.2,Family Matthew Diamond Christopher Lloyd|Cary Elwes|Jaime Pressly
By the Sea,Drama|Romance,Angelina Jolie,Angelina Jolie|Brad Pitt|Mélanie Laurent,5.4,Drama|Romance Angelina Jolie Angelina Jolie|Brad Pitt|Mélanie Laurent
Steamboy,Animation|Fantasy|Science Fiction,Katsuhiro Ōtomo,Anne Suzuki|Masane Tsukayama|Katsuo Nakamura,6.4,Animation|Fantasy|Science Fiction Katsuhiro Ōtomo Anne Suzuki|Masane Tsukayama|Katsuo Nakamura
The Game of Their Lives,Drama,David Anspaugh,Gerard Butler|Wes Bentley|Gavin Rossdale,5.8,Drama David Anspaugh Gerard Butler|Wes Bentley|Gavin Rossdale
All Good Things,Drama|Mystery|Thriller|Crime|Romance,Andrew Jarecki,Kirsten Dunst|Ryan Gosling|Kristen Wiig,5.9,Drama|Mystery|Thriller|Crime|Romance Andrew Jarecki Kirsten Dunst|Ryan Gosling|Kristen Wiig
Rapa Nui,Adventure,Kevin Reynolds,Jason Scott Lee|Esai Morales|Sandrine Holt,6.2,Adventure Kevin Reynolds Jason Scott Lee|Esai Morales|Sandrine Holt
CJ7,Comedy|Drama|Family|Fantasy|Science Fiction,Stephen Chow,Stephen Chow|Xu Jiao|Kitty Zhang Yuqi,6.1,Comedy|Drama|Family|Fantasy|Science Fiction Stephen Chow Stephen Chow|Xu Jiao|Kitty Zhang Yuqi
The Visitors II: The Corridors of Time,Comedy|Fantasy,Jean-Marie Poiré,Christian Clavier|Jean Reno|Marie-Anne Chazel,5.8,Comedy|Fantasy Jean-Marie Poiré Christian Clavier|Jean Reno|Marie-Anne Chazel
Dylan Dog: Dead of Night,Action|Comedy|Horror|Mystery|Science Fiction|Thriller,Kevin Munroe,Brandon Routh|Peter Stormare|Sam Huntington,4.5,Action|Comedy|Horror|Mystery|Science Fiction|Thriller Kevin Munroe Brandon Routh|Peter Stormare|Sam Huntington
People I Know,Drama|Thriller,Daniel Algrant,Al Pacino|Kim Basinger|Ryan O'Neal,5.5,Drama|Thriller Daniel Algrant Al Pacino|Kim Basinger|Ryan O'Neal
The Tempest,Drama|Fantasy,Julie Taymor,Helen Mirren|Felicity Jones|Reeve Carney,6.0,Drama|Fantasy Julie Taymor Helen Mirren|Felicity Jones|Reeve Carney
Regression,Horror|Mystery|Thriller,Alejandro Amenábar,Ethan Hawke|Emma Watson|David Thewlis,5.3,Horror|Mystery|Thriller Alejandro Amenábar Ethan Hawke|Emma Watson|David Thewlis
Three Kingdoms: Resurrection of the Dragon,Action|History|Drama,Daniel Lee,Sammo Hung|Vanness Wu|Maggie Q,6.6,Action|History|Drama Daniel Lee Sammo Hung|Vanness Wu|Maggie Q
Butterfly on a Wheel,Crime|Drama|Thriller,Mike Barker,Pierce Brosnan|Maria Bello|Gerard Butler,6.3,Crime|Drama|Thriller Mike Barker Pierce Brosnan|Maria Bello|Gerard Butler
Zambezia,Comedy|Animation|Adventure|Family,Wayne Thornley,Jeremy Suarez|Samuel L. Jackson|Abigail Breslin,5.3,Comedy|Animation|Adventure|Family Wayne Thornley Jeremy Suarez|Samuel L. Jackson|Abigail Breslin
Ramanujan,Drama|History,Gnana Rajasekaran,Abhinay Vaddi|Suhasini Maniratnam|Kevin McGowan,5.0,Drama|History Gnana Rajasekaran Abhinay Vaddi|Suhasini Maniratnam|Kevin McGowan
Dwegons,Animation,Tom Walsh,Melissa Leo|Maggie Wheeler|Joey D. Vieira,0.5,Animation Tom Walsh Melissa Leo|Maggie Wheeler|Joey D. Vieira
Hands of Stone,Drama,Jonathan Jakubowicz,Robert De Niro|Edgar Ramírez|Jurnee Smollett,6.1,Drama Jonathan Jakubowicz Robert De Niro|Edgar Ramírez|Jurnee Smollett
Survivor,Thriller,James McTeigue,Pierce Brosnan|Milla Jovovich|Dylan McDermott,5.4,Thriller James McTeigue Pierce Brosnan|Milla Jovovich|Dylan McDermott
The Frozen Ground,Thriller|Crime,Scott Walker,Nicolas Cage|Vanessa Hudgens|John Cusack,6.1,Thriller|Crime Scott Walker Nicolas Cage|Vanessa Hudgens|John Cusack
The Painted Veil,Drama|Romance,John Curran,Edward Norton|Juliet Howland|Naomi Watts,7.1,Drama|Romance John Curran Edward Norton|Juliet Howland|Naomi Watts
The Baader Meinhof Complex,Action|Crime|Drama|History|Thriller,Uli Edel,Martina Gedeck|Moritz Bleibtreu|Johanna Wokalek,7.1,Action|Crime|Drama|History|Thriller Uli Edel Martina Gedeck|Moritz Bleibtreu|Johanna Wokalek
Dances with Wolves,Adventure|Drama|Western,Kevin Costner,Kevin Costner|Mary McDonnell|Graham Greene,7.6,Adventure|Drama|Western Kevin Costner Kevin Costner|Mary McDonnell|Graham Greene
Bad Teacher,Comedy,Jake Kasdan,Cameron Diaz|Jason Segel|Justin Timberlake,5.4,Comedy Jake Kasdan Cameron Diaz|Jason Segel|Justin Timberlake
Sea of Love,Drama|Crime|Mystery,Harold Becker,Al Pacino|Ellen Barkin|John Goodman,6.7,Drama|Crime|Mystery Harold Becker Al Pacino|Ellen Barkin|John Goodman
A Cinderella Story,Comedy,Mark Rosman,Hilary Duff|Jennifer Coolidge|Chad Michael Murray,6.1,Comedy Mark Rosman Hilary Duff|Jennifer Coolidge|Chad Michael Murray
Scream,Crime|Horror|Mystery,Wes Craven,David Arquette|Neve Campbell|Courteney Cox,7.0,Crime|Horror|Mystery Wes Craven David Arquette|Neve Campbell|Courteney Cox
Thir13en Ghosts,Horror|Thriller,Steve Beck,Tony Shalhoub|Embeth Davidtz|Matthew Lillard,5.4,Horror|Thriller Steve Beck Tony Shalhoub|Embeth Davidtz|Matthew Lillard
The Shining,Horror|Thriller,Stanley Kubrick,Jack Nicholson|Shelley Duvall|Danny Lloyd,8.1,Horror|Thriller Stanley Kubrick Jack Nicholson|Shelley Duvall|Danny Lloyd
Back to the Future,Adventure|Comedy|Science Fiction|Family,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Lea Thompson,8.0,Adventure|Comedy|Science Fiction|Family Robert Zemeckis Michael J. Fox|Christopher Lloyd|Lea Thompson
House on Haunted Hill,Horror|Mystery|Thriller,William Malone,Geoffrey Rush|Famke Janssen|Taye Diggs,5.5,Horror|Mystery|Thriller William Malone Geoffrey Rush|Famke Janssen|Taye Diggs
I Can Do Bad All By Myself,Drama|Comedy,Tyler Perry,Tyler Perry|Taraji P. Henson|Adam Rodríguez,6.0,Drama|Comedy Tyler Perry Tyler Perry|Taraji P. Henson|Adam Rodríguez
Fight Valley,Action|Drama,Rob Hawk,Erin O'Brien|Miesha Tate|Holly Holm,3.9,Action|Drama Rob Hawk Erin O'Brien|Miesha Tate|Holly Holm
The Switch,Comedy|Romance|Drama,Josh Gordon,Jason Bateman|Jennifer Aniston|Jeff Goldblum,5.9,Comedy|Romance|Drama Josh Gordon Jason Bateman|Jennifer Aniston|Jeff Goldblum
Just Married,Comedy,Shawn Levy,Ashton Kutcher|Brittany Murphy|Christian Kane,5.3,Comedy Shawn Levy Ashton Kutcher|Brittany Murphy|Christian Kane
The Devil's Double,Drama|Action|Thriller|Crime|War,Lee Tamahori,Dominic Cooper|Ludivine Sagnier|Raad Rawi,6.5,Drama|Action|Thriller|Crime|War Lee Tamahori Dominic Cooper|Ludivine Sagnier|Raad Rawi
Thomas and the Magic Railroad,Animation|Drama|Family|Science Fiction,Britt Allcroft,Alec Baldwin|Peter Fonda|Mara Wilson,4.6,Animation|Drama|Family|Science Fiction Britt Allcroft Alec Baldwin|Peter Fonda|Mara Wilson
The Crazies,Mystery|Horror|Action,Breck Eisner,Timothy Olyphant|Radha Mitchell|Joe Anderson,6.2,Mystery|Horror|Action Breck Eisner Timothy Olyphant|Radha Mitchell|Joe Anderson
Spirited Away,Fantasy|Adventure|Animation|Family,Hayao Miyazaki,Rumi Hiiragi|Miyu Irino|Mari Natsuki,8.3,Fantasy|Adventure|Animation|Family Hayao Miyazaki Rumi Hiiragi|Miyu Irino|Mari Natsuki
Firestorm,Action|Crime,Alan Yuen,Andy Lau|Gordon Lam Ka-Tung|Yao Chen,5.9,Action|Crime Alan Yuen Andy Lau|Gordon Lam Ka-Tung|Yao Chen
The Bounty,Action|Drama|History,Roger Donaldson,Mel Gibson|Anthony Hopkins|Laurence Olivier,6.5,Action|Drama|History Roger Donaldson Mel Gibson|Anthony Hopkins|Laurence Olivier
The Book Thief,Drama,Brian Percival,Geoffrey Rush|Sophie Nélisse|Emily Watson,7.4,Drama Brian Percival Geoffrey Rush|Sophie Nélisse|Emily Watson
Sex Drive,Comedy|Adventure|Romance,Sean Anders,Josh Zuckerman|Amanda Crew|Clark Duke,6.0,Comedy|Adventure|Romance Sean Anders Josh Zuckerman|Amanda Crew|Clark Duke
Leap Year,Romance|Comedy,Anand Tucker,Amy Adams|Matthew Goode|Adam Scott,6.4,Romance|Comedy Anand Tucker Amy Adams|Matthew Goode|Adam Scott
The Fall of the Roman Empire,Drama|History,Anthony Mann,Sophia Loren|Stephen Boyd|Alec Guinness,6.0,Drama|History Anthony Mann Sophia Loren|Stephen Boyd|Alec Guinness
Take Me Home Tonight,Comedy|Drama|Romance,Michael Dowse,Topher Grace|Anna Faris|Dan Fogler,6.2,Comedy|Drama|Romance Michael Dowse Topher Grace|Anna Faris|Dan Fogler
Won't Back Down,Drama,Daniel Barnz,Viola Davis|Maggie Gyllenhaal|Ving Rhames,5.8,Drama Daniel Barnz Viola Davis|Maggie Gyllenhaal|Ving Rhames
The Nutcracker,Family|Fantasy|Music,Emile Ardolino,Darci Kistler|Damian Woetzel|Bart Robinson Cook,5.6,Family|Fantasy|Music Emile Ardolino Darci Kistler|Damian Woetzel|Bart Robinson Cook
Kansas City,Thriller|Drama|Music|Crime,Robert Altman,Jennifer Jason Leigh|Miranda Richardson|Harry Belafonte,6.1,Thriller|Drama|Music|Crime Robert Altman Jennifer Jason Leigh|Miranda Richardson|Harry Belafonte
Indignation,Drama,James Schamus,Logan Lerman|Sarah Gadon|Tracy Letts,6.8,Drama James Schamus Logan Lerman|Sarah Gadon|Tracy Letts
The Amityville Horror,Horror|Thriller|Drama,Andrew Douglas,Ryan Reynolds|Melissa George|Jesse James,6.0,Horror|Thriller|Drama Andrew Douglas Ryan Reynolds|Melissa George|Jesse James
Adaptation.,Comedy|Crime|Drama,Spike Jonze,Nicolas Cage|Meryl Streep|Chris Cooper,7.3,Comedy|Crime|Drama Spike Jonze Nicolas Cage|Meryl Streep|Chris Cooper
